abalan: abal
event: acara
hajad: acara
hajat: acara
helat: acara
ifen: acara
ivent: acara
pesta: acara
ad: ada
adain: ada
adakan: ada
afa: ada
alakadarnya: ada
da: ada
diadain: ada
ngadain: ada
adaterus: ada terus
adalaaaah: adalah
adl: adalah
adlh: adalah
dalah: adalah
is: adalah
adhock: adhoc
edhoc: adhoc
dek: adik
dich: adik
adm: administrator
admim: administrator
admin: administrator
adminnya: administrator
admint: administrator
min: administrator
mind: administrator
sambat: adu
addduuuh: aduh
adech: aduh
adeh: aduh
adu: aduh
aduhai: aduh
aduuuh: aduh
alah: aduh
argh: aduh
beeuuuh: aduh
beh: aduh
beuh: aduh
buh: aduh
duh: aduh
duuuuh: aduh
haaddeuh: aduh
haddeh: aduh
hadduh: aduh
hade: aduh
hadech: aduh
hadeeech: aduh
hadeeed: aduh
hadeeeeh: aduh
hadeeeh: aduh
hadeeh: aduh
hadeeuuh: aduh
hadeew: aduh
hadeewwh: aduh
hadeh: aduh
hadeuh: aduh
hadeuuh: aduh
hadeuuuh: aduh
hadeuuuuuh: aduh
hadew: aduh
hadewh: aduh
hado: aduh
hadu: aduh
haduch: aduh
haduh: aduh
haduuuh: aduh
hayya: aduh
hdeh: aduh
hduh: aduh
hedeeeh: aduh
hedeh: aduh
heedeh: aduh
waduuh: aduh
walah: aduh
yeuh: aduh
aga: agak
rada: agak
piar: agar
aaaaah: ah
aaah: ah
akh: ah
arrrrgggh: ah
eeeaaah: ah
uh: ah
skill: ahli
ngairin: air
jak: ajak
ngajak: ajak
totorial: ajar
ajarinkami: ajar kami
diakalin: akal
akn: akan
ahir: akhir
ahirnya: akhir
akfir: akhir
akhirny: akhir
terahir: akhir
trkhir: akhir
berkakibat: akibat
akretasi: akreditasi
acces: akses
aces: akses
aksesx: akses
aksis: akses
ekses: akses
mengasesnya: akses
ngakses: akses
ngaksesnya: akses
aktifasi: aktivasi
aktifin: aktivasi
aktifitas: aktivasi
aktifvasi: aktivasi
aktivasinya: aktivasi
diaktivasi: aktivasi
teraktivasi: aktivasi
ngaku: aku
accun: akun
akuntable: akuntabel
akirasi: akurat
alama: alam
alami: alam
mengalmi: alam
ngalami: alam
ngalamin: alam
pengalaman: alam
ux: alam guna
andres: alamat
